PRODUTOS;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5
505069;Fruteira 3 Cestos Fixos Com Tampo De Metal Cromada - Utimil;https://images.tcdn.com.br/img/img_prod/1265869/fruteira_3_cestos_fixos_com_tampo_de_metal_cromada_utimil_505069_1_5182b8ca41f0fa81bdaedd6ed6eb558a_20240123153051.jpg;;;;
505067;Fruteira De Mesa Com Alça - Utimil;https://images.tcdn.com.br/img/img_prod/1265869/fruteira_de_mesa_com_alca_utimil_505067_1_61c107af5e9ed72b5e65c11a5a259b59_20240123153051.jpg;;;;
505065;Fruteira De Mesa Funda - Utimil;https://images.tcdn.com.br/img/img_prod/1265869/fruteira_de_mesa_funda_utimil_505065_1_0aaaa6f23a61603950ca6c2b0123da4f_20240123153051.jpg;;;;
507853;Fruteira Utilínea Em Madeira Mista Com Estante E 2 Cestos - Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/fruteira_utilinea_em_madeira_mista_com_estante_e_2_cestos_tramontina_507853_1_5e360596086605891ace4cd46d6969c7_20240123153610.jpg;;;;
507843;Fsc Farinheira Rost Em Madeira Jatobá Mesclada Com Acabamento Óleo 15X15 Cm- Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/fsc_farinheira_rost_em_madeira_jatoba_mesclada_com_acabamento_oleo_15x15_cm_tramontina_507843_1_5ab5ba1df8673cb52eadf295f592f6e5_20240123153607.jpg;https://images.tcdn.com.br/img/img_prod/1265869/fsc_farinheira_rost_em_madeira_jatoba_mesclada_com_acabamento_oleo_15x15_cm_tramontina_507843_2_b26c608e5c487950100985584945334f_20240123153609.jpg;;;
507851;Fsc Prato Rost Para Servir Em Madeira Jatobá Mesclada Com Acabamento Óleo 25 Cm - Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/fsc_prato_rost_para_servir_em_madeira_jatoba_mesclada_com_acabamento_oleo_25_cm_tramontina_507851_1_278c8d48df2cd9d9d34cf81993055f0f_20240123153609.jpg;;;;
507839;"Fsc Saleiro Rost Em Madeira Jatobá Mesclada Com Acabamento Óleo 12,5X12,5 Cm - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/fsc_saleiro_rost_em_madeira_jatoba_mesclada_com_acabamento_oleo_12_5x12_5_cm_tramontina_507839_1_62bfc0e4839f990f9b644394dc27c1de_20240123153606.jpg;https://images.tcdn.com.br/img/img_prod/1265869/fsc_saleiro_rost_em_madeira_jatoba_mesclada_com_acabamento_oleo_12_5x12_5_cm_tramontina_507839_2_117bc7713f1950a5c2a134acda618861_20240123153608.jpg;;;
509127;Fumigador Para Apicultura Zatti;https://images.tcdn.com.br/img/img_prod/1265869/fumigador_para_apicultura_zatti_509127_1_f8d4385dcd38bc48682e6166fd45018d_20240123154311.png;;;;
510643;Fungidor Spray 150Ml - Insetimax;https://images.tcdn.com.br/img/img_prod/1265869/fungidor_spray_150ml_insetimax_510643_1_891218924da6b58a0841b78057754ba6_20240123154248.png;;;;
508063;Funil De Linguiça - B09;https://images.tcdn.com.br/img/img_prod/1265869/funil_de_linguica_b09_508063_1_e5f9d97f182528f0f7f93bf05b506374_20240123154523.jpg;;;;
