PRODUTOS;;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5;IMAGEM 6
511043;Tubo Esgoto 6m 50 Mm - Plastilit;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_6m_50_mm_plastilit_511043_1_837cbc7f5337d4a3286252aad62e40e1_20240123154322.png;;;;;
511047;Tubo Esgoto 6m 75 Mm - Plastilit;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_6m_75_mm_plastilit_511047_1_837cbc7f5337d4a3286252aad62e40e1_20240123154322.png;;;;;
513401;Tubo Esgoto Série Normal 3m x 100mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_serie_normal_3m_x_100mm_fortlev_513401_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
513389;Tubo Esgoto Série Normal 3m x 40mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_serie_normal_3m_x_40mm_fortlev_513389_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
513391;Tubo Esgoto Série Normal 3m x 50mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_serie_normal_3m_x_50mm_fortlev_513391_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
513395;Tubo Esgoto Série Normal 3m x 75mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_serie_normal_3m_x_75mm_fortlev_513395_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
513377;Tubo Esgoto Série Normal 6m x 100mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_serie_normal_6m_x_100mm_fortlev_513377_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
513379;Tubo Esgoto Série Normal 6m x 150mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_serie_normal_6m_x_150mm_fortlev_513379_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
513365;Tubo Esgoto Série Normal 6m x 40mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/tubo_esgoto_serie_normal_6m_fortlev_513365_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
513371;Tubo Esgoto Série Normal 6m x 50mm - Fortlev;https://images.tcdn.com.br/img/img_prod/1265869/copia_tubo_esgoto_serie_normal_6m_x_50mm_fortlev_513371_1_134f6484bc2dbb1140899d0c6794d9ea.jpg;;;;;
